letterId,number,year,recipient,requestCount,typeCode,typeName,collapsedPath,complexity,requestShare,serialRequest,firstRequestPosition,lastRequestPosition,postRequestContinuation,persuasionShare,informationShare,displayShare
065_1914_松崎鹤雄,065,1914,松崎鹤雄,1,C,先请后叙型,INF→REQ→INF,1.3862943611198906,0.3333333333333333,0,0.5,0.5,0.5,0,0.6666666666666666,0
067_0_松崎鹤雄,067,,松崎鹤雄,1,A,先叙后请型,INF→PRS→INF→REQ,1.6094379124341003,0.25,0,1,1,0,0.25,0.5,0
068_0_松崎鹤雄,068,,松崎鹤雄,1,A,先叙后请型,INF→REQ→INF,1.3862943611198906,0.25,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,0.75,0
070_0_松崎鹤雄,070,,松崎鹤雄,2,D,连环请托型,INF→PRS→REQ→INF,1.6094379124341003,0.2857142857142857,1,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.14285714285714285,0.5714285714285714,0
073_1916_松崎鹤雄,073,1916,松崎鹤雄,1,B,论议收束型,INF→DSP→INF→DSP→PRS→INF→DSP→PRS→INF→DSP→PRS→INF→REQ,2.639057329615259,0.05,0,1,1,0,0.2,0.5,0.25
075_1916_松崎鹤雄,075,1916,松崎鹤雄,4,B,论议收束型,INF→PRS→INF→PRS→INF→PRS→INF→PRS→INF→PRS→REQ→PRS→DSP→INF→REQ→PRS→INF→REQ→INF,2.995732273553991,0.14285714285714285,0.3333333333333333,0.5925925925925926,0.9629629629629629,0.037037037037037035,0.35714285714285715,0.4642857142857143,0.03571428571428571
076_1916_松崎鹤雄,076,1916,松崎鹤雄,1,A,先叙后请型,INF→PRS→INF→PRS→INF→REQ,1.9459101490553132,0.09090909090909091,0,1,1,0,0.18181818181818182,0.7272727272727273,0
077_1916_松崎鹤雄,077,1916,松崎鹤雄,2,B,论议收束型,INF→PRS→INF→PRS→INF→PRS→INF→DSP→INF→REQ→INF→REQ,2.5649493574615367,0.1,0,0.7894736842105263,1,0,0.2,0.65,0.05
078_1916_松崎鹤雄,078,1916,松崎鹤雄,2,C,先请后叙型,INF→REQ→PRS→REQ→INF→DSP→INF,2.0794415416798357,0.15384615384615385,0,0.08333333333333333,0.25,0.75,0.07692307692307693,0.6923076923076923,0.07692307692307693
079_1916_松崎鹤雄,079,1916,松崎鹤雄,3,A,先叙后请型,INF→REQ→INF→REQ→INF→REQ,1.9459101490553132,0.21428571428571427,0,0.23076923076923078,1,0,0,0.7857142857142857,0
081_1916_松崎鹤雄,081,1916,松崎鹤雄,1,B,论议收束型,INF→PRS→INF→PRS→REQ,1.791759469228055,0.16666666666666666,0,1,1,0,0.3333333333333333,0.5,0
088_1917_松崎鹤雄,088,1917,松崎鹤雄,1,C,先请后叙型,INF→PRS→INF→REQ→INF→PRS→INF→PRS→INF→PRS→INF→PRS,2.5649493574615367,0.0625,0,0.2,0.2,0.8,0.375,0.5625,0
091_1917_松崎鹤雄,091,1917,松崎鹤雄,1,A,先叙后请型,INF→DSP→INF→REQ→INF→PRS→INF,2.0794415416798357,0.1111111111111111,0,0.625,0.625,0.375,0.1111111111111111,0.6666666666666666,0.1111111111111111
092_1917_松崎鹤雄,092,1917,松崎鹤雄,1,C,先请后叙型,INF→REQ→INF→PRS→DSP,1.791759469228055,0.1111111111111111,0,0.375,0.375,0.625,0.1111111111111111,0.6666666666666666,0.1111111111111111
094_1917_松崎鹤雄,094,1917,松崎鹤雄,1,C,先请后叙型,INF→PRS→INF→DSP→PRS→DSP→INF→REQ→PRS→INF→PRS→INF→PRS→INF→PRS→INF→PRS→INF,2.9444389791664403,0.037037037037037035,0,0.4230769230769231,0.4230769230769231,0.5769230769230769,0.3333333333333333,0.5185185185185185,0.1111111111111111
095_1917_松崎鹤雄,095,1917,松崎鹤雄,1,A,先叙后请型,INF→REQ→INF,1.3862943611198906,0.045454545454545456,0,0.9047619047619048,0.9047619047619048,0.09523809523809523,0,0.9545454545454546,0
096_1917_松崎鹤雄,096,1917,松崎鹤雄,1,A,先叙后请型,INF→REQ,1.0986122886681096,0.2,0,1,1,0,0,0.8,0
097_1917_松崎鹤雄,097,1917,松崎鹤雄,1,A,先叙后请型,INF→REQ→INF→PRS→INF,1.791759469228055,0.08333333333333333,0,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.08333333333333333,0.8333333333333334,0
098_1917_松崎鹤雄,098,1917,松崎鹤雄,1,C,先请后叙型,INF→PRS→REQ→PRS→INF,1.791759469228055,0.09090909090909091,0,0.2,0.2,0.8,0.18181818181818182,0.7272727272727273,0
099_1917_松崎鹤雄,099,1917,松崎鹤雄,2,B,论议收束型,INF→PRS→INF→PRS→INF→DSP→PRS→REQ→PRS→INF→REQ,2.4849066497880004,0.15384615384615385,0,0.75,1,0,0.3076923076923077,0.46153846153846156,0.07692307692307693
100_1917_松崎鹤雄,100,1917,松崎鹤雄,1,A,先叙后请型,INF→PRS→INF→PRS→INF→REQ→INF,2.0794415416798357,0.09090909090909091,0,0.9,0.9,0.1,0.18181818181818182,0.7272727272727273,0
101_1917_松崎鹤雄,101,1917,松崎鹤雄,4,D,连环请托型,INF→PRS→INF→REQ→INF→PRS→REQ,2.0794415416798357,0.21052631578947367,0.6666666666666666,0.7222222222222222,1,0,0.15789473684210525,0.631578947368421,0
103_1918_松崎鹤雄,103,1918,松崎鹤雄,1,C,先请后叙型,INF→REQ→INF→PRS→INF,1.791759469228055,0.09090909090909091,0,0.2,0.2,0.8,0.09090909090909091,0.8181818181818182,0
105_1918_松崎鹤雄,105,1918,松崎鹤雄,2,B,论议收束型,INF→REQ→INF→PRS→INF→DSP→INF→REQ→PRS,2.302585092994046,0.15384615384615385,0,0.08333333333333333,0.8333333333333334,0.16666666666666666,0.23076923076923078,0.5384615384615384,0.07692307692307693
106_0_松崎鹤雄,106,,松崎鹤雄,1,B,论议收束型,INF→PRS→INF→PRS→INF→PRS→REQ,2.0794415416798357,0.125,0,1,1,0,0.375,0.5,0
107_1918_松崎鹤雄,107,1918,松崎鹤雄,1,A,先叙后请型,INF→PRS→INF→PRS→INF→DSP→INF→REQ→INF→PRS→INF,2.4849066497880004,0.05,0,0.6842105263157895,0.6842105263157895,0.3157894736842105,0.2,0.7,0.05
108_1918_松崎鹤雄,108,1918,松崎鹤雄,1,A,先叙后请型,INF→PRS→INF→PRS→INF→PRS→REQ→INF→PRS,2.302585092994046,0.0625,0,0.8,0.8,0.2,0.4375,0.5,0
109_1918_松崎鹤雄,109,1918,松崎鹤雄,8,B,论议收束型,INF→PRS→INF→PRS→INF→PRS→INF→DSP→PRS→REQ→INF→REQ→INF→DSP→REQ→INF→PRS→INF→PRS→INF→REQ,3.091042453358316,0.2222222222222222,0.5714285714285714,0.45714285714285713,1,0,0.3055555555555556,0.4166666666666667,0.05555555555555555
113_1919_松崎鹤雄,113,1919,松崎鹤雄,1,C,先请后叙型,INF→PRS→INF→DSP→INF→PRS→REQ→INF→PRS→DSP→NEG→INF→PRS→DSP→INF,2.772588722239781,0.043478260869565216,0,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.17391304347826086,0.6086956521739131,0.13043478260869565
120_1920_松崎鹤雄,120,1920,松崎鹤雄,2,D,连环请托型,INF→REQ→INF,1.3862943611198906,0.2857142857142857,1,0.6666666666666666,0.8333333333333334,0.16666666666666666,0,0.7142857142857143,0
121_1920_松崎鹤雄,121,1920,松崎鹤雄,1,A,先叙后请型,INF→PRS→INF→PRS→INF→PRS→INF→REQ→INF,2.302585092994046,0.08333333333333333,0,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.25,0.6666666666666666,0
122_1920_松崎鹤雄,122,1920,松崎鹤雄,2,C,先请后叙型,INF→REQ→INF,1.3862943611198906,0.2,1,0.2222222222222222,0.3333333333333333,0.6666666666666666,0,0.8,0
124_1920_松崎鹤雄,124,1920,松崎鹤雄,1,C,先请后叙型,INF→REQ→INF→DSP→INF→DSP→INF,2.0794415416798357,0.07142857142857142,0,0.07692307692307693,0.07692307692307693,0.9230769230769231,0,0.7857142857142857,0.14285714285714285
126_1920_松崎鹤雄,126,1920,松崎鹤雄,2,A,先叙后请型,INF→PRS→REQ→INF→REQ,1.791759469228055,0.2857142857142857,0,0.3333333333333333,1,0,0.14285714285714285,0.5714285714285714,0
127_1920_松崎鹤雄,127,1920,松崎鹤雄,1,B,论议收束型,INF→PRS→INF→PRS→INF→PRS→INF→PRS→INF→PRS→INF→DSP→INF→REQ→INF,2.772588722239781,0.043478260869565216,0,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.30434782608695654,0.6086956521739131,0.043478260869565216
