书信ID,收信人,年份,路径类型,事务签名,时期
178_1916_缪荃孙,缪荃孙,1916,先请后叙型,书籍＋政治＋社交,1912—1918
179_1917_缪荃孙,缪荃孙,1917,先叙后请型,书籍,1912—1918
180_1917_缪荃孙,缪荃孙,1917,论议收束型,书籍＋政治＋社交,1912—1918
182_1917_缪荃孙,缪荃孙,1917,论议收束型,学术＋社交,1912—1918
187_1919_夏敬观,夏敬观,1919,先叙后请型,书籍＋社交,1919以后
188_1919_夏敬观,夏敬观,1919,先叙后请型,学术＋书籍＋社交,1919以后
189_1919_夏敬观,夏敬观,1919,论议收束型,学术＋书籍＋社交,1919以后
190_1919_夏敬观,夏敬观,1919,先请后叙型,书籍＋社交,1919以后
191_1919_夏敬观,夏敬观,1919,论议收束型,书籍＋社交,1919以后
194_1919_夏敬观,夏敬观,1919,论议收束型,学术＋书籍,1919以后
195_1919_夏敬观,夏敬观,1919,先请后叙型,书籍＋社交,1919以后
196_1919_夏敬观,夏敬观,1919,论议收束型,学术＋书籍,1919以后
197_1919_夏敬观,夏敬观,1919,论议收束型,学术＋书籍,1919以后
198_1919_夏敬观,夏敬观,1919,论议收束型,书籍＋社交,1919以后
199_1919_夏敬观,夏敬观,1919,先叙后请型,书籍＋社交,1919以后
200_1903_吴庆坻,吴庆坻,1903,论议收束型,书籍＋社交,1911以前
201_1904_吴庆坻,吴庆坻,1904,论议收束型,学术＋社交,1911以前
203_1906_吴庆坻,吴庆坻,1906,论议收束型,学术＋社交,1911以前
207_1908_吴庆坻,吴庆坻,1908,论议收束型,社交,1911以前
209_1908_吴庆坻,吴庆坻,1908,先请后叙型,书籍,1911以前
211_1917_刘承干,刘承干,1917,先叙后请型,书籍＋家族,1912—1918
212_1917_刘承干,刘承干,1917,先请后叙型,未标注,1912—1918
218_1919_刘承干,刘承干,1919,连环请托型,社交,1919以后
219_1896_叶昌炽,叶昌炽,1896,先叙后请型,书籍＋社交,1911以前
220_1896_叶昌炽,叶昌炽,1896,连环请托型,书籍＋社交,1911以前
221_1897_叶昌炽,叶昌炽,1897,论议收束型,社交,1911以前
223_0_叶昌炽,叶昌炽,,先叙后请型,书籍,年代不详
224_1919_瞿启甲,瞿启甲,1919,先叙后请型,书籍＋社交,1919以后
225_1919_瞿启甲,瞿启甲,1919,先请后叙型,书籍＋社交,1919以后
226_1921_瞿启甲,瞿启甲,1921,论议收束型,书籍＋社交,1919以后
